event,path,timestamp
modified,/etc/mysql/conf.d/mysqldump.cnf,2020-10-20T08:42:37
modified,/etc/mysql/conf.d/mysql.cnf,2020-10-20T08:42:37
modified,/etc/alternatives/c99,2020-11-17T18:53:07
modified,/etc/alternatives/c89.1.gz,2020-11-17T18:53:07
modified,/etc/alternatives/c89,2020-11-17T18:53:07
modified,/etc/hdparm.conf,2020-12-15T22:01:56
modified,/etc/ld.so.conf,2020-12-16T11:04:55
modified,/etc/bindresvport.blacklist,2020-12-16T11:04:55
modified,/etc/ld.so.conf.d/libc.conf,2020-12-16T11:04:55
modified,/etc/X11/xinit/xinputrc,2020-12-18T00:58:02
modified,/etc/X11/Xsession.d/70im-config_launch,2020-12-18T09:43:29
modified,/etc/apache2/conf-available/javascript-common.conf,2020-12-18T19:33:11
modified,/etc/emacs/site-start.d/50autoconf.el,2020-12-20T10:16:50
modified,/etc/ghostscript/fontmap.d/10gsfonts.conf,2020-12-20T11:32:31
modified,/etc/sgml/sgml-data.cat,2020-12-29T23:20:17
modified,/etc/alternatives/libpsm_infinipath.so.1,2021-01-03T07:42:58
modified,/etc/dbus-1/system.d/net.hadess.SwitcherooControl.conf,2021-01-04T11:15:09
modified,/etc/init.d/kmod,2021-01-08T10:42:02
modified,/etc/rcS.d/S01kmod,2021-01-08T10:42:02
modified,/etc/rc5.d/S01ubuntu-fan,2021-01-21T19:46:29
modified,/etc/rc4.d/S01ubuntu-fan,2021-01-21T19:46:29
modified,/etc/network/if-down.d/ubuntu-fan,2021-01-21T19:46:29
modified,/etc/network/if-up.d/ubuntu-fan,2021-01-21T19:46:29
modified,/etc/network/if-post-down.d/ubuntu-fan,2021-01-21T19:46:29
modified,/etc/NetworkManager/conf.d/10-ubuntu-fan.conf,2021-01-21T19:46:29
modified,/etc/init.d/ubuntu-fan,2021-01-21T19:46:29
modified,/etc/rc3.d/S01ubuntu-fan,2021-01-21T19:46:29
modified,/etc/init/ubuntu-fan.conf,2021-01-21T19:46:29
modified,/etc/default/ubuntu-fan,2021-01-21T19:46:29
modified,/etc/dnsmasq.d/ubuntu-fan,2021-01-21T19:46:29
modified,/etc/rc1.d/K01ubuntu-fan,2021-01-21T19:46:29
modified,/etc/rc0.d/K01ubuntu-fan,2021-01-21T19:46:29
modified,/etc/rc2.d/S01ubuntu-fan,2021-01-21T19:46:29
modified,/etc/systemd/system/multi-user.target.wants/ubuntu-fan.service,2021-01-21T19:46:29
modified,/etc/rc6.d/K01ubuntu-fan,2021-01-21T19:46:29
modified,/etc/john/john-mail.msg,2021-01-25T20:20:37
modified,/etc/cron.d/john,2021-01-25T20:20:51
modified,/etc/john/john-mail.conf,2021-01-25T20:20:56
modified,/etc/dpkg/dpkg.cfg,2021-01-30T06:07:17
